time	aortic_valve_pos	mitral_valve_pos	muscle_length	muscle_stress	muscle_ATP_used_per_liter_per_s	muscle_ATP_concentration	hr_new_beat	hr_heart_rate_bpm	memb_Ca_cytosol	memb_Ca_sr	memb_activation	memb_t_open_left_s	memb_k_serca	memb_k_leak	memb_k_active	memb_J_release	memb_J_uptake	mito_volume	mito_ATP_generated_M_per_liter_per_s	fs_muscle_length	fs_muscle_stress	fs_hs_length	fs_hs_stress_titin	fs_hs_stress_extracellular	fs_hs_stress_viscous	fs_hs_stress_total	fs_hs_a_pop_0	fs_hs_a_pop_1	fs_hs_m_pop_0	fs_hs_m_pop_1	fs_hs_m_pop_2	fs_hs_m_pop_3	fs_hs_c_pop_0	fs_hs_c_pop_1	fs_hs_c_pop_2	fs_sc_extension	fs_sc_last_extension	fs_sc_force	vent_wall_volume	vent_wall_thickness	vent_chamber_radius	vent_chamber_height	vent_n_hs	vent_stroke_work_J	vent_stroke_energy_used_J	vent_efficiency	vent_ejection_fraction	vent_ATP_used_per_s	vent_stroke_volume	vent_cardiac_output	rc_1_C	rc_heart_rate_t_RR_interval_s	rc_2_C	rc_membranes_k_active	rc_3_C	rc_membranes_k_serca	rc_4_C	rc_FiberSim_half_sarcomere_m_state_1_trans_1_param_1	rc_5_C	rc_FiberSim_half_sarcomere_k_on	rc_6_C	rc_circulation_resistance_4	rc_7_C	rc_circulation_compliance_7	baro_active	baro_P_set	baro_A	baro_B	gc_1_prop_signal	gc_1_deriv_signal	gc_1_output	gc_1_slope	gc_2_prop_signal	gc_2_deriv_signal	gc_2_output	gc_2_slope	growth_active	circ_blood_volume	pressure_0	pressure_1	pressure_2	pressure_3	pressure_4	pressure_5	pressure_6	volume_0	volume_1	volume_2	volume_3	volume_4	volume_5	volume_6	flow_0	flow_1	flow_2	flow_3	flow_4	flow_5	flow_6
0.01	0.00068164	1	927.648	6.04923	-0	0.00700475	1	60	5.76626e-09	0.000999994	0	-0.01	8	0.0006	0.082	5.99997e-07	4.61301e-08	4.32e-05	0.0004752	927.648	6.04923	927.648	11.5282	0.145181	146.904	199.497	0.999743	0.000257202	0.948731	0.0511831	0	8.57339e-05	1	0	0	0.000604923	0.000566233	6.04923	0.12	0.0123402	0.0180193	0.0770456	163805	0.0239368	-0.0970444	0.246658	0.703876	-0	0.118848	7.1309	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.289051	0.5	0	0	0	0	0	0	0	0	0	4.5	0.0765791	6.56376e-06	5.78246e-06	0.00149841	0.103331	0.201433	12.3959	0.0523941	0.3	0.3	0.100002	0.250011	0.506165	2.99143	0.615967	2.60974e-06	1.95325e-08	-1.86578e-06	-0.000407329	-0.00196205	-0.609725
0.02	0.0199347	1	941.776	24.9547	-0	0.0070095	0	60	1.10892e-08	0.000999989	0	-0.02	8	0.0006	0.082	5.99993e-07	8.87132e-08	4.32e-05	0.0004752	941.776	24.9547	941.773	40.7529	0.533165	136.294	177.58	0.999486	0.000514403	0.938272	0.0617284	0	0	1	0	0	0.00249547	0.00246494	24.9547	0.12	0.0117936	0.0186601	0.0801482	163805	0.0239368	-0.0970444	0.246658	0.703876	-0	0.118848	7.1309	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.289054	0.5	0	0	0	0	0	0	0	0	0	4.5	0.307099	0.00189322	0.000196932	0.00856641	0.266533	0.401016	12.245	0.0584497	0.300001	0.3	0.100009	0.250027	0.512148	2.97937	0.596897	0.00030421	4.24071e-05	-1.04619e-05	-0.00103186	-0.00268967	-0.592201
0.03	0.09707	1	954.89	47.1696	-0	0.00701426	0	60	1.60028e-08	0.000999984	0	-0.03	8	0.0006	0.082	5.9999e-07	1.28022e-07	4.32e-05	0.0004752	954.89	47.1696	954.886	69.314	1.09953	126.56	196.974	0.998457	0.00154321	0.935357	0.0646433	0	0	1	0	0	0.00471696	0.004687	47.1696	0.12	0.0113227	0.0192368	0.0829687	163805	0.0239368	-0.0970444	0.246658	0.703876	-0	0.118848	7.1309	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.289102	0.5	0	0	0	0	0	0	0	0	0	4.5	0.535229	0.0250971	0.00313531	0.0217165	0.431203	0.594633	12.0987	0.0643044	0.30001	0.300003	0.100022	0.250043	0.517953	2.96766	0.578173	0.00247592	0.000549044	-2.32265e-05	-0.00163795	-0.00326861	-0.575202
0.04	0.264995	1	967.04	73.4763	-0	0.00701892	0	60	2.05386e-08	0.000999979	0	-0.04	8	0.0006	0.082	5.99988e-07	1.64309e-07	4.32e-05	0.0004752	967.04	73.4763	967.033	97.1759	1.89793	116.925	215.999	0.9982	0.00180041	0.932956	0.0670439	0	0	1	0	0	0.00734763	0.00731912	73.4763	0.12	0.0109146	0.0197571	0.0855366	163805	0.0239368	-0.0970444	0.246658	0.703876	-0	0.118848	7.1309	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.289302	0.5	0	0	0	0	0	0	0	0	0	4.5	0.773804	0.122257	0.0203731	0.040654	0.592453	0.782482	11.9568	0.0699291	0.30005	0.300017	0.100041	0.25006	0.523585	2.95632	0.559148	0.00863285	0.00254711	-2.53511e-05	-0.0022072	-0.00380059	-0.558714
0.05	0.537644	1	978.309	94.8056	-0	0.00702367	0	60	2.47257e-08	0.000999975	0	-0.05	8	0.0006	0.082	5.99985e-07	1.97805e-07	4.32e-05	0.0004752	978.309	94.8056	978.3	124.384	2.99098	108.704	236.078	0.9982	0.00180041	0.928498	0.0715021	0	0	1	0	0	0.00948056	0.0094523	94.8056	0.12	0.0105579	0.0202288	0.0878837	163805	0.0239368	-0.0970444	0.246658	0.703876	-0	0.118848	7.1309	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.289719	0.5	0	0	0	0	0	0	0	0	0	4.5	0.932863	0.325189	0.0738775	0.0652438	0.749974	0.964745	11.8189	0.0753197	0.300132	0.30006	0.100066	0.250075	0.52905	2.9453	0.544303	0.0163356	0.0062828	1.07921e-05	-0.00273892	-0.00429542	-0.542709
0.06	0.897791	1	988.809	117.049	-0	0.00702842	0	60	2.85908e-08	0.000999971	0	-0.06	8	0.0006	0.082	5.99983e-07	2.28726e-07	4.32e-05	0.0004752	988.809	117.049	988.797	151.053	4.45343	101.753	257.26	0.9982	0.00180041	0.92644	0.0735597	0	0	1	0	0	0.0117049	0.0116769	117.049	0.12	0.010243	0.0206597	0.0900434	163805	0.0239368	-0.0970444	0.246658	0.703876	-0	0.118848	7.1309	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.290284	0.5	0	0	0	0	0	0	0	0	0	4.5	1.0834	0.599722	0.178468	0.0955997	0.903877	1.14159	11.6849	0.0804928	0.300242	0.300145	0.100096	0.250091	0.534352	2.93458	0.530075	0.0217122	0.0105313	0.000103586	-0.00323311	-0.00475424	-0.527166
0.07	1	1	998.675	147.069	-0	0.00703308	0	60	3.21587e-08	0.000999968	0	-0.07	8	0.0006	0.082	5.99981e-07	2.5727e-07	4.32e-05	0.0004752	998.675	147.069	998.66	177.4	6.38162	95.9285	373.074	0.996142	0.00385802	0.92061	0.0790466	8.57339e-05	0.000257202	1	0	0	0.0147069	0.0146617	147.069	0.12	0.00996116	0.0210575	0.0920511	163805	0.0239368	-0.0970444	0.246658	0.703876	-0	0.118848	7.1309	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.290808	0.5	0	0	0	0	0	0	0	0	0	4.5	1.28473	0.853596	0.326894	0.131895	1.05432	1.31318	11.5547	0.0854875	0.300343	0.300264	0.100133	0.250106	0.539497	2.92417	0.513498	0.0215567	0.0131676	0.000243748	-0.00368971	-0.00517709	-0.512076
0.08	1	1	1007.92	185.35	-0	0.00703783	0	60	3.54523e-08	0.000999965	0	-0.08	8	0.0006	0.082	5.99979e-07	2.83618e-07	4.32e-05	0.0004752	1007.92	185.35	1007.9	203.344	8.86455	89.7503	373.753	0.995628	0.00437243	0.920953	0.0788752	0	0.000171468	1	0	0	0.018535	0.0184974	185.35	0.12	0.00970853	0.0214246	0.0939153	163805	0.0239368	-0.0970444	0.246658	0.703876	-0	0.118848	7.1309	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.291277	0.5	0	0	0	0	0	0	0	0	0	4.5	1.54117	1.081	0.496963	0.174088	1.20146	1.47968	11.4287	0.0902863	0.300434	0.3004	0.100175	0.25012	0.544489	2.9141	0.494375	0.0230086	0.0146008	0.000403595	-0.00410949	-0.00556437	-0.497449
0.09	1	1	1016.66	217.843	-0	0.00704258	0	60	3.84927e-08	0.000999962	0	-0.09	8	0.0006	0.082	5.99977e-07	3.07941e-07	4.32e-05	0.0004752	1016.66	217.843	1016.64	229.092	12.0309	84.9226	406.94	0.995628	0.00437243	0.908608	0.0912209	0	0.000171468	1	0	0	0.0217843	0.0217464	217.843	0.12	0.00947936	0.0217669	0.0956631	163805	0.0239368	-0.0970444	0.246658	0.703876	-0	0.118848	7.1309	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.291671	0.5	0	0	0	0	0	0	0	0	0	4.5	1.72891	1.27194	0.676425	0.221942	1.3454	1.64125	11.3065	0.0949286	0.30051	0.300544	0.100223	0.250135	0.549333	2.90433	0.478879	0.0228482	0.014888	0.000568104	-0.00449382	-0.00591714	-0.483262
0.1	1	1	1024.96	245.608	-0	0.00704724	0	60	4.12993e-08	0.000999959	0	-0.1	8	0.0006	0.082	5.99975e-07	3.30394e-07	4.32e-05	0.0004752	1024.96	245.608	1024.94	254.749	16.0237	81.1547	409.895	0.99537	0.00462963	0.91118	0.0886488	0	0.000171468	1	0	0	0.0245608	0.0245279	245.608	0.12	0.00926991	0.0220879	0.0973109	163805	0.0239368	-0.0970444	0.246658	0.703876	-0	0.118848	7.1309	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.292031	0.5	0	0	0	0	0	0	0	0	0	4.5	1.86754	1.44577	0.854843	0.275083	1.48621	1.79805	11.1879	0.0994325	0.30058	0.300687	0.100276	0.250149	0.554034	2.89484	0.466016	0.0210883	0.0147732	0.000724701	-0.0048445	-0.00623691	-0.46949
0.11	1	1	1032.83	279.654	-0	0.0070519	0	60	4.389e-08	0.000999956	0	-0.11	8	0.0006	0.082	5.99974e-07	3.5112e-07	4.32e-05	0.0004752	1032.83	279.654	1032.8	280.227	20.9735	77.0362	378.237	0.99537	0.00462963	0.910494	0.0895062	0	0	1	0	0	0.0279654	0.0279457	279.654	0.12	0.00907835	0.0223885	0.0988619	163805	0.0239368	-0.0970444	0.246658	0.703876	-0	0.118848	7.1309	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.292407	0.5	0	0	0	0	0	0	0	0	0	4.5	2.04475	1.6279	1.03023	0.333084	1.62395	1.95023	11.0728	0.103786	0.300652	0.300827	0.100334	0.250163	0.558597	2.88564	0.451401	0.0208428	0.0149416	0.000871434	-0.00516348	-0.00652549	-0.456127
0.12	1	1	1040.43	295.893	-0	0.00705666	0	60	4.62816e-08	0.000999954	0	-0.12	8	0.0006	0.082	5.99972e-07	3.70253e-07	4.32e-05	0.0004752	1040.43	295.893	1040.4	306.041	27.1673	74.947	408.156	0.99537	0.00462963	0.913066	0.0869342	0	0	1	0	0	0.0295893	0.0295669	295.893	0.12	0.00889927	0.0226762	0.100353	163805	0.0239368	-0.0970444	0.246658	0.703876	-0	0.118848	7.1309	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.292636	0.5	0	0	0	0	0	0	0	0	0	4.5	2.08221	1.73835	1.19744	0.395541	1.75869	2.09792	10.9606	0.108076	0.300696	0.30096	0.100397	0.250176	0.563025	2.87667	0.443918	0.0171929	0.0135228	0.00100238	-0.00545259	-0.00678468	-0.443133
